state,State,Former Slave State,Black Disenfranchised,Black VAP,Share Black Disenfranchised, Total Disenfranchised , Total VAP ,Share Total Disenfranchised, Black Men VAP , Black Men Disenfranchised , All Others Disenfranchised , All Others VAP ,Share Black Men Disenfranchised,Share All Others Disenfranchised,Ratio Black MaleVote to All Others
1,Alabama,1,143924,952671,0.15107419,286266,3755483,0.076226147,430146,131825,154441,3325337,0.306465712,0.046443714,0.727313425
2,Alaska,0,1450,21219,0.068334983,14439,552166,0.026149745,12924,1293,13146,539242,0.100046425,0.024378665,0.922441466
4,Arizona,0,25492,214412,0.118892599,221170,5205215,0.04249008,113302,23116,198054,5091913,0.204021112,0.038895794,0.828192077
5,Arkansas,1,26106,333472,0.078285433,66705,2272904,0.029347918,154430,24039,42666,2118474,0.15566276,0.020139969,0.861691684
6,California,0,63390,1858353,0.03411085,222557,30023902,0.007412661,909765,60560,161997,29114137,0.066566641,0.005564204,0.938656234
8,Colorado,0,5858,172849,0.033890853,30946,4199509,0.007368957,93704,5322,25624,4105805,0.056795868,0.00624092,0.949127561
9,Connecticut,0,7263,273185,0.026586379,17345,2826827,0.006135855,127434,6748,10597,2699393,0.052952901,0.003925697,0.950779572
10,Delaware,1,8113,151584,0.05352148,15716,741548,0.021193503,69313,7458,8258,672235,0.107598863,0.012284395,0.903500088
12,Florida,1,499306,2338940,0.213475335,1686318,16166143,0.104311709,1097824,465126,1221192,15068319,0.423679934,0.081043678,0.62714631
13,Georgia,1,144546,2301258,0.062811732,248751,7710688,0.032260545,1046687,134534,114217,6664001,0.128533172,0.017139403,0.886663715
15,Hawaii,0,269,23868,0.01127032,6364,1120770,0.005678239,15737,237,6127,1105033,0.01506005,0.005544631,0.990431528
16,Idaho,0,580,8308,0.069812229,23106,1222093,0.018906908,5284,509,22597,1216809,0.096328539,0.018570704,0.920770824
17,Illinois,0,27427,1387719,0.019764088,49625,9901322,0.005011957,633841,25840,23785,9267481,0.040767322,0.002566501,0.961700885
18,Indiana,0,10317,444706,0.023199597,29658,5040224,0.005884262,207950,9359,20299,4832274,0.045006011,0.004200714,0.959022568
19,Iowa,0,6879,69892,0.098423282,52012,2395103,0.021715976,37543,6251,45761,2357560,0.166502411,0.019410323,0.849996292
20,Kansas,0,5601,130602,0.04288602,17594,2192084,0.008026152,67393,5124,12470,2124691,0.076031635,0.005869089,0.929423232
21,Kentucky,1,69771,266806,0.261504614,312046,3413425,0.091417272,130908,61454,250592,3282517,0.46944419,0.076341417,0.574406843
22,Louisiana,1,68065,1084997,0.062732892,108035,3555911,0.030381807,501272,64237,43798,3054639,0.128147992,0.014338192,0.884534636
23,Maine,0,0,10940,0,0,1072948,0,6762,0,0,1066186,0,0,1
24,Maryland,1,15383,1348123,0.01141068,21465,4658175,0.004608028,608917,14705,6760,4049258,0.024149433,0.001669442,0.977482417
25,Massachusetts,0,2966,355908,0.008333614,11176,5407335,0.002066822,167954,2770,8406,5239381,0.016492611,0.001604388,0.985087852
26,Michigan,0,23679,1057458,0.022392379,44221,7715272,0.005731619,488065,22416,21805,7227207,0.045928309,0.003017071,0.956958905
27,Minnesota,0,15432,210110,0.073447242,63340,4205207,0.015062279,107236,14330,49010,4097971,0.133630497,0.011959577,0.876856334
28,Mississippi,1,127130,801471,0.158620836,218181,2265485,0.09630653,365594,118283,99898,1899891,0.323536491,0.052580911,0.714006628
29,Missouri,1,30374,525285,0.057823848,89665,4692196,0.019109389,241527,27305,62360,4450669,0.113051543,0.014011377,0.899552425
30,Montana,0,204,4245,0.048056537,4146,806529,0.005140547,3008,182,3964,803521,0.060505319,0.004933287,0.944152456
31,Nebraska,0,3540,63187,0.056024182,17564,1425853,0.01231824,32019,3257,14307,1393834,0.101720853,0.010264493,0.907595151
32,Nevada,0,21568,183389,0.117607926,89267,2221681,0.040179936,91055,19644,69623,2130626,0.215737741,0.032677251,0.81075552
33,New Hampshire,0,204,12994,0.015699554,3031,1066610,0.002841713,7484,187,2844,1059126,0.024986638,0.002685233,0.977638549
34,New Jersey,0,47470,899227,0.052789785,94315,6959192,0.013552579,412551,45366,48949,6546641,0.109964586,0.007476964,0.896740309
35,New Mexico,0,1581,33582,0.047078792,24286,1588201,0.015291515,19542,1425,22861,1568659,0.072919865,0.014573594,0.940790839
36,New York,0,46286,2277485,0.020323295,97581,15584974,0.006261223,1023760,44180,53401,14561214,0.043154646,0.003667345,0.960367353
37,North Carolina,1,42905,1630848,0.026308399,91179,7752234,0.011761642,741269,39754,51425,7010965,0.053629654,0.007334939,0.953363207
38,North Dakota,0,182,8799,0.020684169,2178,583001,0.003735843,5649,161,2017,577352,0.02850062,0.003493536,0.974905247
39,Ohio,0,24829,1069118,0.023223816,52837,8984946,0.005880614,496581,22723,30114,8488365,0.045758899,0.00354768,0.957638495
40,Oklahoma,0,15116,223354,0.067677319,58302,2950017,0.019763276,110441,13497,44805,2839576,0.122210049,0.015778764,0.891862438
41,Oregon,0,1593,60807,0.026197642,14748,3166121,0.004658066,33503,1456,13292,3132618,0.043458795,0.004243096,0.960617197
42,Pennsylvania,0,25596,1041629,0.024573049,52974,10112229,0.005238608,489698,24149,28825,9622531,0.049314067,0.002995574,0.953542339
44,Rhode Island,0,963,47566,0.020245554,3355,845254,0.003969221,23282,920,2435,821972,0.039515506,0.002962388,0.963338276
45,South Carolina,1,38916,1014456,0.038361447,47238,3804558,0.01241616,461805,36396,10842,3342753,0.078812486,0.003243434,0.924185048
46,South Dakota,0,363,9316,0.038965221,10392,647145,0.016058225,5927,321,10071,641218,0.054158934,0.015706047,0.960933533
47,Tennessee,1,173895,817457,0.212726786,421227,5102688,0.082550021,376218,157599,263628,4726470,0.418903402,0.055776933,0.615423006
48,Texas,1,147727,2393055,0.061731552,495928,20257343,0.024481394,1134865,134741,361187,19122478,0.118728659,0.018888086,0.898237324
49,Utah,0,724,22763,0.031806001,7669,2083423,0.003680962,13287,667,7002,2070136,0.050199443,0.003382386,0.953024053
50,Vermont,0,0,5244,0,0,506119,0,2927,0,0,503192,0,0,1
51,Virginia,1,271944,1241868,0.218979795,508680,6512571,0.078107402,582491,249029,259651,5930080,0.427524202,0.043785413,0.598689672
53,Washington,0,7987,215438,0.037073311,48552,5558509,0.008734716,118586,7351,41201,5439923,0.061988768,0.00757382,0.945169779
54,West Virginia,1,1792,50496,0.035487959,14727,1464532,0.010055772,27754,1574,13153,1436778,0.056712546,0.009154511,0.952002572
55,Wisconsin,0,22447,256592,0.087481293,65606,4476711,0.014654955,123246,21071,44535,4353465,0.170967009,0.010229782,0.837601472
