State,DisBlk,BlkVAP,BlkPctDis,TotDis,TotVAP,totPctDis,TotPrisoners,Male,Female,blkVAP,blkMaleVAP,blkFemaleVAP,statefips,slaveStates,pctBlkMen,pctBlkMenIncarcerated,blkMenVAP,blkMenDis,allOthersDis,allOthersVAP,blkMenPctDis,allOthersPctDis,ratioBlkVoteToOthers
Alabama,143924,952671,0.1511,286266,3755483,0.076,30810,28220,2590,944523,426467,518056,1,1,0.451515739,0.915936384,430145.9502,131825.2282,154440.7718,3325337.05,0.306466278,0.046443645,0.727312779
Alaska,1450,21219,0.0683,14439,552166,0.026,5338,4761,577,18860,11487,7373,2,0,0.609066808,0.891907081,12923.7886,1293.265268,13145.73473,539242.2114,0.100068587,0.024378163,0.922418276
Arizona,25492,214412,0.1189,221170,5205215,0.043,42719,38738,3981,203875,107734,96141,4,0,0.528431637,0.906809616,113302.0842,23116.39074,198053.6093,5091912.916,0.204024409,0.038895718,0.828188581
Arkansas,26106,333472,0.0783,66705,2272904,0.029,17707,16305,1402,328365,152065,176300,5,1,0.463097468,0.920822274,154430.0388,24038.98628,42666.01372,2118473.961,0.155662632,0.020139976,0.86169182
California,63390,1858353,0.0341,222557,30023902,0.007,129593,123808,5785,1741943,852776,889167,6,0,0.48955448,0.955360243,909765.037,60560.28582,161996.7142,29114136.96,0.066566952,0.005564194,0.938655912
Colorado,5858,172849,0.0339,30946,4199509,0.007,20168,18322,1846,158011,85660,72351,8,0,0.542114157,0.908468862,93703.88986,5321.810591,25624.18941,4105805.11,0.056793913,0.006240966,0.949129572
Connecticut,7263,273185,0.0266,17345,2826827,0.006,15816,14695,1121,274442,128020,146422,9,0,0.46647379,0.929122408,127433.6424,6748.216047,10596.78395,2699393.358,0.052954745,0.003925617,0.950777644
Delaware,8113,151584,0.0535,15716,741548,0.021,6654,6117,537,147691,67533,80158,10,1,0.457258736,0.919296664,69313.10826,7458.253832,8257.746168,672234.8917,0.107602357,0.012284019,0.903496207
Florida,499306,2338940,0.2135,1686318,16166143,0.104,101424,94481,6943,2313781,1086015,1227766,12,1,0.469368104,0.931544802,1097823.832,465125.9089,1221192.091,15068319.17,0.423679916,0.081043684,0.627146333
Georgia,144546,2301258,0.0628,248751,7710688,0.032,52193,48578,3615,2250482,1023592,1226890,13,1,0.454832343,0.930737838,1046686.567,134534.4316,114216.5684,6664001.433,0.128533637,0.017139337,0.886663182
Hawaii,269,23868,0.0113,6364,1120770,0.006,5879,5177,702,22656,14938,7718,15,0,0.659339689,0.880591937,15737.1197,236.8792312,6127.120769,1105032.88,0.015052261,0.005544741,0.990439469
Idaho,580,8308,0.0698,23106,1222093,0.019,8052,7068,984,6785,4315,2470,16,0,0.63596168,0.877794337,5283.569639,509.1207154,22596.87928,1216809.43,0.096359233,0.018570598,0.92073945
Illinois,27427,1387719,0.0198,49625,9901322,0.005,46240,43565,2675,1363367,622718,740649,17,0,0.45675009,0.942149654,633840.7782,25840.33856,23784.66144,9267481.222,0.04076787,0.002566464,0.961700299
Indiana,10317,444706,0.0232,29658,5040224,0.006,27355,24815,2540,428401,200326,228075,18,0,0.467613288,0.907146774,207950.4347,9359.033266,20298.96673,4832273.565,0.045006077,0.004200707,0.959022496
