State,Total,VAP,pctDisenfranchised
Alabama," 286,266 "," 3,755,483 ", 0.076 
Alaska," 14,439 "," 552,166 ", 0.026 
Arizona," 221,170 "," 5,205,215 ", 0.043 
Arkansas," 66,705 "," 2,272,904 ", 0.029 
California," 222,557 "," 30,023,902 ", 0.007 
Colorado," 30,946 "," 4,199,509 ", 0.007 
Connecticut," 17,345 "," 2,826,827 ", 0.006 
Delaware," 15,716 "," 741,548 ", 0.021 
Florida," 1,686,318 "," 16,166,143 ", 0.104 
Georgia," 248,751 "," 7,710,688 ", 0.032 
Hawaii," 6,364 "," 1,120,770 ", 0.006 
Idaho," 23,106 "," 1,222,093 ", 0.019 
Illinois," 49,625 "," 9,901,322 ", 0.005 
Iowa," 52,012 "," 2,395,103 ", 0.022 
Indiana," 29,658 "," 5,040,224 ", 0.006 
Kansas," 17,594 "," 2,192,084 ", 0.008 
Kentucky," 312,046 "," 3,413,425 ", 0.091 
Louisiana," 108,035 "," 3,555,911 ", 0.030 
Maine, -   ," 1,072,948 ", -   
Maryland," 21,465 "," 4,658,175 ", 0.005 
Massachusetts," 11,176 "," 5,407,335 ", 0.002 
Michigan," 44,221 "," 7,715,272 ", 0.006 
Minnesota," 63,340 "," 4,205,207 ", 0.015 
Mississippi," 218,181 "," 2,265,485 ", 0.096 
Missouri," 89,665 "," 4,692,196 ", 0.019 
Montana," 4,146 "," 806,529 ", 0.005 
North Carolina," 91,179 "," 7,752,234 ", 0.012 
North Dakota," 2,178 "," 583,001 ", 0.004 
Nebraska," 17,564 "," 1,425,853 ", 0.012 
Nevada," 89,267 "," 2,221,681 ", 0.040 
New Hampshire," 3,031 "," 1,066,610 ", 0.003 
New Jersey," 94,315 "," 6,959,192 ", 0.014 
New Mexico," 24,286 "," 1,588,201 ", 0.015 
New York," 97,581 "," 15,584,974 ", 0.006 
Ohio," 52,837 "," 8,984,946 ", 0.006 
Oklahoma," 58,302 "," 2,950,017 ", 0.020 
Oregon," 14,748 "," 3,166,121 ", 0.005 
Pennsylvania," 52,974 "," 10,112,229 ", 0.005 
Rhode Island," 3,355 "," 845,254 ", 0.004 
South Carolina," 47,238 "," 3,804,558 ", 0.012 
South Dakota," 10,392 "," 647,145 ", 0.016 
Tennessee," 421,227 "," 5,102,688 ", 0.083 
Texas," 495,928 "," 20,257,343 ", 0.025 
Utah," 7,669 "," 2,083,423 ", 0.004 
Vermont, -   ," 506,119 ", -   
Virginia," 508,680 "," 6,512,571 ", 0.078 
Washington," 48,552 "," 5,558,509 ", 0.009 
West Virginia," 14,727 "," 1,464,532 ", 0.010 
Wisconsin," 65,606 "," 4,476,711 ", 0.015 
Wyoming," 23,847 "," 447,212 ", 0.053 
Total," 6,106,327 "," 247,219,588 ", 0.025 
